0,2048
1,2248.739103
2,2447.544979
3,2642.503019
4,2831.735669
5,3013.420517
6,3185.807837
7,3347.237446
8,3496.154688
9,3631.125408
10,3750.849766
11,3854.174749
12,3940.105283
13,4007.813808
14,4056.648254
15,4086.13832
16,4096
17,4086.13832
18,4056.648254
19,4007.813808
20,3940.105283
21,3854.174749
22,3750.849766
23,3631.125408
24,3496.154688
25,3347.237446
26,3185.807837
27,3013.420517
28,2831.735669
29,2642.503019
30,2447.544979
31,2248.739103
32,2048
33,1847.260897
34,1648.455021
35,1453.496981
36,1264.264331
37,1082.579483
38,910.1921628
39,748.762554
40,599.8453121
41,464.8745915
42,345.150234
43,241.8252506
44,155.8947174
45,88.18619242
46,39.35174573
47,9.861679775
48,0
49,9.861679775
50,39.35174573
51,88.18619242
52,155.8947174
53,241.8252506
54,345.150234
55,464.8745915
56,599.8453121
57,748.762554
58,910.1921628
59,1082.579483
60,1264.264331
61,1453.496981
62,1648.455021
63,1847.260897
